2010, 6, 9, 12, 53, 26

Beacon 1

Approximate Real Distance | Measured Distance
50 | 57
50 | 58
50 | 58
50 | 60
50 | 58
50 | 57
50 | 57
50 | 57
50 | 59
50 | 57
70 | 75
70 | 76
70 | 77
70 | 74
70 | 76
70 | 76
70 | 77
70 | 77
70 | 74
70 | 77
100 | 104
100 | 105
100 | 104
100 | 104
100 | 106
100 | 104
100 | 104
100 | 104
100 | 104
100 | 106
150 | 154
150 | 154
150 | 155
150 | 155
150 | 154
150 | 155
150 | 155
150 | 156
150 | 154
150 | 154
200 | 206
200 | 207
200 | 201
200 | 205
200 | 202
200 | 203
200 | 204
200 | 201
200 | 206
200 | 204
